Target ID,Title,Live Site Status,QA Result,QA Issue - Content,QA Issue - Appearence,QA Issue - Functionality,Open Access,Primary URL,Other URLs
2949,Scotland.org,LIVE,QA issues found,False,False,False,True,http://www.scotland.org/,['https://www.scotland.org/sitemap.xml']
2201,John Redwood (Conservative  Politician),LIVE,No QA issues found (OK to publish),True,False,False,True,http://www.johnredwoodsdiary.com/,['http://johnredwoodsdiary.com/']
42922,Historic Environment Scotland / Àrainneachd Eachdraidheil Alba,LIVE,"QA issues, but OK to publish",False,False,False,True,https://www.historicenvironment.scot/,"['https://pub-prod-sdk.azurewebsites.net/api/file/', 'https://hesmainprod.blob.core.windows.net/', 'https://www.historicenvironment.scot/sitemap.xml']"
16040,NHS 24,LIVE,"QA issues, but OK to publish",True,False,False,True,http://www.nhs24.com/,['http://www.nhs24.com/sitemap/']
13721,Stewart Stevenson MSP,LIVE,QA issues found,True,False,False,True,http://stewartstevenson.blogspot.com/,"['http://stewartstevenson-surgeries.blogspot.com/', 'http://stewartstevenson-comment.blogspot.com/', 'http://stewartstevenson-oral.blogspot.com/', 'http://stewartstevenson-oralanswersgiven.blogspot.com/', 'http://stewartstevenson-speeches.blogspot.com/']"
3153,Scottish Labour Party,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.scottishlabour.org.uk/,[]
14273,Labour List,LIVE,No QA issues found (OK to publish),False,False,False,True,http://labourlist.org/,[]
4258,Scottish Communists,LIVE,QA issues found,True,False,False,True,http://www.scottishcommunists.org.uk/,[]
3157,Scottish National Party,LIVE,QA issues found,True,False,False,True,http://www.snp.org/,"['http://www.snp.org/sitemap_index.xml', 'https://maxcdn.bootstrapcdn.com/', 'https://thesnp.nationbuilder.com/']"
3154,Scottish Liberal Democrats,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.scotlibdems.org.uk/,[]
15947,"Standards Commission for Scotland, The",LIVE,QA issues found,False,False,False,True,http://www.standardscommissionscotland.org.uk/,['http://www.standardscommissionscotland.org.uk/sitemap.xml']
3152,"Scottish Government, The ",LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.gov.scot/,"['http://www.gov.scot/Topics/', 'http://www.gov.scot/Site-Map', 'http://www.gov.scot/seso/SiteMap.aspx']"
21585,Mike Scott-Hayward,LIVE,No QA issues found (OK to publish),True,False,False,True,http://mikescotthayward.blogspot.co.uk/,[]
3013,British Library,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.bl.uk/,[]
3180,Transport Scotland / Comhdhail Alba,LIVE,QA issues found,False,False,False,True,https://www.transport.gov.scot/,['https://www.transport.gov.scot/sitemap.xml']
32241,"EPCC, University of Edinburgh",LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.epcc.ed.ac.uk/,[]
81663,Hana Feels,LIVE,No QA issues found (OK to publish),False,False,False,True,http://hanafeels.com/index.html,"['http://hanafeels.com/images/will.png', 'http://hanafeels.com/images/mother.png', 'http://hanafeels.com/images/ernie.png', 'http://hanafeels.com/images/jen.png', 'http://hanafeels.com/images/christine.png', 'http://hanafeels.com/images/hanalogo.png', 'http://hanafeels.com/images/hanasil.png', 'http://hanafeels.com/images/hana2.png', 'http://hanafeels.com/images/hana.png', 'http://hanafeels.com/images', 'http://hanafeels.com/']"
3184,UK Web Archive,LIVE,QA issues found,False,False,False,True,http://www.webarchive.org.uk/,[]
72416,My World of Work,LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.myworldofwork.co.uk/,['https://www.myworldofwork.co.uk/sitemap.xml']
55687,Scottish Geology,LIVE,QA issues found,False,False,False,True,http://www.scottishgeology.com/,"['https://www.scottishgeology.com/comments/feed/', 'https://www.scottishgeology.com/feed/']"
81701,Ughdarras nan Croitearan / Crofter's Commission,LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.crofterscommission.org.uk/,[]
72471,East Renfrewshire Council,LIVE,No QA issues found (OK to publish),False,False,False,True,https://eastrenfrewshire.gov.uk/Home,[]
72486,Can Stop Smoking,,"QA issues, but OK to publish",False,False,False,True,http://www.canstopsmoking.com/,[]
72485,Act against harm: adult support and protection,,No QA issues found (OK to publish),False,False,False,True,http://www.actagainstharm.org/,[]
978,Royal College of Nursing,,QA issues found,False,False,False,True,https://www.rcn.org.uk/,[]
2971,Next,,QA issues found,False,False,False,True,http://www.next.co.uk/,[]
